,actors,movies
1413,benjamin gilani,Hum Dum
1414,tanvi azmi,Hum Dum
1415,hrithik roshan,Jodhaa Akbar
1416,aishwarya rai bachchan,Jodhaa Akbar
1417,sonu sood,Jodhaa Akbar
1418,poonam sinha,Jodhaa Akbar
1419,shah rukh khan,Kabhi Alvida Naa Kehna
1420,rani mukerji,Kabhi Alvida Naa Kehna
1421,amitabh bachchan,Kabhi Alvida Naa Kehna
1422,preity zinta,Kabhi Alvida Naa Kehna
1423,ajay devgn,Apaharan
1424,nana patekar,Apaharan
1425,bipasha basu,Apaharan
1426,ayub khan,Apaharan
1427,rekha,Bachke Rehna Re Baba
1428,mallika sherawat,Bachke Rehna Re Baba
1429,paresh rawal,Bachke Rehna Re Baba
1430,satish shah,Bachke Rehna Re Baba
1431,salman khan,Kyon Ki...
1432,kareena kapoor,Kyon Ki...
1433,rimi sen,Kyon Ki...
1434,jackie shroff,Kyon Ki...
1435,salman khan,Maine Pyaar Kyun Kiya
1436,sushmita sen,Maine Pyaar Kyun Kiya
1437,katrina kaif,Maine Pyaar Kyun Kiya
1438,sohail khan,Maine Pyaar Kyun Kiya
1439,anil kapoor,My Wife's Murder
1440,suchitra krishnamoorthi,My Wife's Murder
1441,nandana sen,My Wife's Murder
1442,rajesh tandon,My Wife's Murder
1443,anil kapoor,No Entry
1444,salman khan,No Entry
1445,fardeen khan,No Entry
1446,bipasha basu,No Entry
1447,shah rukh khan,Paheli
1448,anupam kher,Paheli
1449,rani mukerji,Paheli
1450,amitabh bachchan,Paheli
1451,abhay deol,Socha Na Tha
1452,ayesha takia,Socha Na Tha
1453,ayesha jhulka,Socha Na Tha
1454,apoorva jha,Socha Na Tha
1455,emraan hashmi,Zeher
1456,shamita shetty,Zeher
1457,udita goswami,Zeher
1458,sameer kochhar,Zeher
1459,juhi chawla,7 1/2 Phere: More Than a Wedding
1460,irrfan khan,7 1/2 Phere: More Than a Wedding
1461,manoj pahwa,7 1/2 Phere: More Than a Wedding
1462,nina kulkarni,7 1/2 Phere: More Than a Wedding
1463,akshay kumar,Garam Masala
1464,john abraham,Garam Masala
1465,paresh rawal,Garam Masala
1466,rimi sen,Garam Masala
1467,naseeruddin shah,Iqbal
1468,girish karnad,Iqbal
1469,shreyas talpade,Iqbal
1470,shweta prasad,Iqbal
1471,arshad warsi,Kuchh Meetha Ho Jaye
1472,mahima chaudhry,Kuchh Meetha Ho Jaye
1473,parvin dabas,Kuchh Meetha Ho Jaye
1474,sandhya mridul,Kuchh Meetha Ho Jaye
1475,sohail khan,Aryan: Unbreakable
1476,sneha ullal,Aryan: Unbreakable
1477,inder kumar,Aryan: Unbreakable
1478,farida jalal,Aryan: Unbreakable
1479,sushmita sen,Chingaari
1480,mithun chakraborty,Chingaari
1481,anuj sawhney,Chingaari
1482,ila arun,Chingaari
1483,sanjay dutt,Lage Raho Munna Bhai
1484,arshad warsi,Lage Raho Munna Bhai
1485,vidya balan,Lage Raho Munna Bhai
1486,boman irani,Lage Raho Munna Bhai
1487,saif ali khan,Salaam Namaste
1488,preity zinta,Salaam Namaste
1489,arshad warsi,Salaam Namaste
1490,tania zaetta,Salaam Namaste
1491,sunil shetty,Fight Club: Members Only
1492,sohail khan,Fight Club: Members Only
1493,zayed khan,Fight Club: Members Only
1494,dino morea,Fight Club: Members Only
1495,salman khan,Jaan-E-Mann: Let's Fall in Love... Again
1496,akshay kumar,Jaan-E-Mann: Let's Fall in Love... Again
1497,preity zinta,Jaan-E-Mann: Let's Fall in Love... Again
1498,anupam kher,Jaan-E-Mann: Let's Fall in Love... Again
1499,tusshar kapoor,Kyaa Kool Hai Hum
1500,ritesh deshmukh,Kyaa Kool Hai Hum
1501,isha koppikar,Kyaa Kool Hai Hum
1502,neha dhupia,Kyaa Kool Hai Hum
1503,antara mali,Mr Ya Miss
1504,ritesh deshmukh,Mr Ya Miss
1505,divya dutta,Mr Ya Miss
1506,aftab shivdasani,Mr Ya Miss
1507,meera,Nazar
1508,ashmit patel,Nazar
1509,koel purie,Nazar
1510,neena gupta,Nazar
1511,amitabh bachchan,Ek Ajnabee
1512,arjun rampal,Ek Ajnabee
1513,perizaad zorabian,Ek Ajnabee
1514,rucha vaidya,Ek Ajnabee
1515,vivek oberoi,Home Delivery: Aapko... Ghar Tak
1516,mahima chaudhry,Home Delivery: Aapko... Ghar Tak
1517,ayesha takia,Home Delivery: Aapko... Ghar Tak
1518,boman irani,Home Delivery: Aapko... Ghar Tak
1519,konkona sen sharma,Mixed Doubles
1520,ranvir shorey,Mixed Doubles
1521,koel purie,Mixed Doubles
1522,saurabh shukla,Mixed Doubles
1523,seema biswas,Mumbai Godfather
1524,vikram singh,Mumbai Godfather
1525,bhumika,Mumbai Godfather
1526,govind namdeo,Mumbai Godfather
1527,ashutosh rana,Shabnam Mausi
1528,sujeet chaubey,Shabnam Mausi
1529,divya desai,Shabnam Mausi
1530,jasvvant khera,Shabnam Mausi
1531,akshaye khanna,"Gandhi, My Father"
1532,darshan jariwala,"Gandhi, My Father"
1533,shefali shetty,"Gandhi, My Father"
1534,bhoomika chawla,"Gandhi, My Father"
1535,divya dutta,Kahaani Gudiya Ki...: True Story of a Woman
1536,arif zakaria,Kahaani Gudiya Ki...: True Story of a Woman
1537,rajpal yadav,Kahaani Gudiya Ki...: True Story of a Woman
1538,somed agarwal,Kahaani Gudiya Ki...: True Story of a Woman
1539,raqesh vashisth,Naam Gum Jaayega
1540,dia mirza,Naam Gum Jaayega
1541,aryan vaid,Naam Gum Jaayega
1542,mandira bedi,Naam Gum Jaayega
1543,amitabh bachchan,Eklavya: The Royal Guard
1544,saif ali khan,Eklavya: The Royal Guard
1545,sanjay dutt,Eklavya: The Royal Guard
1546,vidya balan,Eklavya: The Royal Guard
1547,fardeen khan,Ek Khiladi Ek Haseena
1548,koena mitra,Ek Khiladi Ek Haseena
1549,kay kay menon,Ek Khiladi Ek Haseena
1550,rakhi sawant,Ek Khiladi Ek Haseena
1551,shiney ahuja,Kal: Yesterday and Tomorrow
1552,murad ali,Kal: Yesterday and Tomorrow
1553,ahmed chaudhary,Kal: Yesterday and Tomorrow
1554,gopi desai,Kal: Yesterday and Tomorrow
1555,fardeen khan,Pyare Mohan
1556,vivek oberoi,Pyare Mohan
1557,esha deol,Pyare Mohan
1558,amrita rao,Pyare Mohan
1559,shah rukh khan,Don
1560,priyanka chopra,Don
1561,arjun rampal,Don
1562,isha koppikar,Don
1563,ashutosh rana,2-Oct
1564,saadhika,2-Oct
1565,sharat saxena,2-Oct
1566,rocky verma,2-Oct
1567,kareena kapoor,Chup Chup Ke
1568,shahid kapoor,Chup Chup Ke
1569,paresh rawal,Chup Chup Ke
1570,neha dhupia,Chup Chup Ke
1571,hemant birje,Bhairav
1572,mithun chakraborty,Bhairav
1573,jack gaud,Bhairav
1574,brij gopal,Bhairav
1575,samir aftab,Chand Sa Roshan Chehra
1576,talat aziz,Chand Sa Roshan Chehra
1577,tamannaah bhatia,Chand Sa Roshan Chehra
1578,kurush deboo,Chand Sa Roshan Chehra
1579,aarti chhabria,Ssukh
1580,jackie shroff,Ssukh
1581,mahesh anand,Ssukh
1582,rana jung bahadur,Ssukh
1583,anupam kher,Khosla's Nest
1584,boman irani,Khosla's Nest
1585,parvin dabas,Khosla's Nest
1586,tara sharma,Khosla's Nest
1587,nassar abdulla,The Film
1588,ravi baswani,The Film
1589,rakesh bedi,The Film
1590,mahima chaudhry,The Film
1591,sanjay chauhan,Siskiyaan
1592,neha dhupia,Siskiyaan
1593,sachin khedekar,Siskiyaan
1594,preeti puri,Siskiyaan
1595,lucky ali,Kasak
1596,meera,Kasak
1597,mukesh tiwari,Kasak
1598,nandini,Kasak
1599,salman khan,Saawan... The Love Season
1600,saloni aswani,Saawan... The Love Season
1601,kapil jhaveri,Saawan... The Love Season
1602,prem chopra,Saawan... The Love Season
1603,konkona sen sharma,Yun Hota Toh Kya Hota: What If...?
1604,irrfan khan,Yun Hota Toh Kya Hota: What If...?
1605,ayesha takia,Yun Hota Toh Kya Hota: What If...?
1606,jimmy shergill,Yun Hota Toh Kya Hota: What If...?
1607,uday chopra,Neal 'N' Nikki
1608,tanisha,Neal 'N' Nikki
1609,abhishek bachchan,Neal 'N' Nikki
1610,richa pallod,Neal 'N' Nikki
1611,ishrat ali,Darwaza Bandh Rakho
1612,abhay bhargav,Darwaza Bandh Rakho
1613,snehal dabi,Darwaza Bandh Rakho
1614,divya dutta,Darwaza Bandh Rakho
1615,amitabh bachchan,Ram Gopal Varma's Indian Flames
1616,mohanlal,Ram Gopal Varma's Indian Flames
1617,ajay devgn,Ram Gopal Varma's Indian Flames
1618,vinod jaywant,Ram Gopal Varma's Indian Flames
1619,imran khan,Jaane Tu... Ya Jaane Na
1620,genelia d'souza,Jaane Tu... Ya Jaane Na
1621,manjari phadnis,Jaane Tu... Ya Jaane Na
1622,ayaz khan,Jaane Tu... Ya Jaane Na
1623,jimmy shergill,...Yahaan
1624,minissha lamba,...Yahaan
1625,yashpal sharma,...Yahaan
1626,mukesh tiwari,...Yahaan
1627,ajay devgn,Shikhar
1628,shahid kapoor,Shikhar
1629,bipasha basu,Shikhar
1630,amrita rao,Shikhar
1631,shahid kapoor,Vaah! Life Ho Toh Aisi!
1632,amrita rao,Vaah! Life Ho Toh Aisi!
1633,sanjay dutt,Vaah! Life Ho Toh Aisi!
1634,arshad warsi,Vaah! Life Ho Toh Aisi!
1635,abhishek bachchan,Bluffmaster!
1636,priyanka chopra,Bluffmaster!
1637,ritesh deshmukh,Bluffmaster!
1638,nana patekar,Bluffmaster!
1639,amitabh bachchan,God Tussi Great Ho
1640,salman khan,God Tussi Great Ho
1641,priyanka chopra,God Tussi Great Ho
1642,anupam kher,God Tussi Great Ho
1643,rajat bedi,Aksar
1644,till dilumière,Aksar
1645,udita goswami,Aksar
1646,hendrik greis,Aksar
1647,sunny deol,Big Brother
1648,priyanka chopra,Big Brother
1649,vikas anand,Big Brother
1650,manoj bhatia,Big Brother
1651,paresh rawal,Malamaal Weekly
1652,om puri,Malamaal Weekly
1653,ritesh deshmukh,Malamaal Weekly
1654,reema sen,Malamaal Weekly
1655,saif ali khan,Nehlle Pe Dehlla
1656,bipasha basu,Nehlle Pe Dehlla
1657,neha dhupia,Nehlle Pe Dehlla
1658,sanjay dutt,Nehlle Pe Dehlla
1659,madhavan,Ramji Londonwaley
1660,samita bangargi,Ramji Londonwaley
1661,satish shah,Ramji Londonwaley
1662,akhilendra mishra,Ramji Londonwaley
1663,nana patekar,Taxi No. 9 2 11: Nau Do Gyarah
1664,john abraham,Taxi No. 9 2 11: Nau Do Gyarah
1665,sonali kulkarni,Taxi No. 9 2 11: Nau Do Gyarah
1666,sameera reddy,Taxi No. 9 2 11: Nau Do Gyarah
1667,rakesh bedi,"Tom, Dick, and Harry"
1668,bobby darling,"Tom, Dick, and Harry"
1669,avtar gill,"Tom, Dick, and Harry"
1670,gulshan grover,"Tom, Dick, and Harry"
1671,akshaye khanna,36 China Town
1672,kareena kapoor,36 China Town
1673,shahid kapoor,36 China Town
1674,paresh rawal,36 China Town
1675,tanushree dutta,Aashiq Banaya Aapne: Love Takes Over
1676,preeti ganguli,Aashiq Banaya Aapne: Love Takes Over
1677,emraan hashmi,Aashiq Banaya Aapne: Love Takes Over
1678,ashwini khalsekar,Aashiq Banaya Aapne: Love Takes Over
1679,sandeep bedi,Bengal Tiger
1680,mithun chakraborty,Bengal Tiger
1681,roshini jaffery,Bengal Tiger
1682,raushani jaffrey,Bengal Tiger
1683,arshad warsi,Sehar
1684,pankaj kapur,Sehar
1685,mahima chaudhry,Sehar
1686,sushant singh,Sehar
1687,dia mirza,Koi Mere Dil Mein Hai
1688,sadashiv amrapurkar,Koi Mere Dil Mein Hai
1689,rita bhaduri,Koi Mere Dil Mein Hai
1690,birbal,Koi Mere Dil Mein Hai
1691,yunus parvez,Gumnam Qatil
1692,mahesh raj,Gumnam Qatil
1693,ghanshyam rohera,Gumnam Qatil
1694,rakesh,Gumnam Qatil
1695,rahul bose,Pyaar Ke Side Effects
1696,mallika sherawat,Pyaar Ke Side Effects
1697,ranvir shorey,Pyaar Ke Side Effects
1698,sharat saxena,Pyaar Ke Side Effects
1699,makrand deshpande,Ek Aur Visphot
1700,kishori godbole,Ek Aur Visphot
1701,raza murad,Ek Aur Visphot
1702,mahavir shah,Ek Aur Visphot
1703,vinay apte,Kyon?
1704,ashok beniwal,Kyon?
1705,chaitanya chaudhary,Kyon?
1706,rahul dev,Kyon?
1707,benjamin gilani,Bullet: Ek Dhamaka
1708,natalya gudkova,Bullet: Ek Dhamaka
1709,iqbal khan,Bullet: Ek Dhamaka
1710,asseem merchant,Bullet: Ek Dhamaka
1711,ishrat ali,Marshal
1712,liyaqat bari,Marshal
1713,mithun chakraborty,Marshal
1714,charulatha,Marshal
1715,priyanka chopra,Miss India: The Mystery
1716,neha dhupia,Miss India: The Mystery
1717,dolly,Miss India: The Mystery
1718,supriya karnik,Miss India: The Mystery
1719,salman khan,Salaam-E-Ishq
1720,priyanka chopra,Salaam-E-Ishq
1721,anil kapoor,Salaam-E-Ishq
1722,juhi chawla,Salaam-E-Ishq
1723,emraan hashmi,Jawani Diwani: A Youthful Joyride
1724,celina jaitly,Jawani Diwani: A Youthful Joyride
1725,hrishitaa bhatt,Jawani Diwani: A Youthful Joyride
1726,mahesh manjrekar,Jawani Diwani: A Youthful Joyride
1727,naseeruddin shah,"Main, Meri Patni... Aur Woh!"
1728,rajpal yadav,"Main, Meri Patni... Aur Woh!"
1729,rituparna sengupta,"Main, Meri Patni... Aur Woh!"
1730,kay kay menon,"Main, Meri Patni... Aur Woh!"
1731,aishwarya rai bachchan,Umrao Jaan
1732,shabana azmi,Umrao Jaan
1733,sunil shetty,Umrao Jaan
1734,abhishek bachchan,Umrao Jaan
1735,sherlyn chopra,Time Pass
1736,tanaaz currim irani,Time Pass
1737,adi irani,Time Pass
1738,monica patel,Time Pass
1739,salman khan,London Dreams
1740,om puri,London Dreams
1741,ajay devgn,London Dreams
1742,dilyana bouklieva,London Dreams
1743,mukesh ahuja,Chand Bujh Gaya
1744,ishrat ali,Chand Bujh Gaya
1745,aliza,Chand Bujh Gaya
1746,neha bam,Chand Bujh Gaya
1747,jatin grewal,Chetna: The Excitement
1748,navneet kaur,Chetna: The Excitement
1749,kiran kumar,Chetna: The Excitement
1750,payal rohatgi,Chetna: The Excitement
1751,arun mathur,Darwaza
1752,anil nagrath,Darwaza
1753,amit pachori,Darwaza
1754,sapna,Darwaza
1755,farid amiri,Mazaa Mazaa
1756,mridula baruah,Mazaa Mazaa
1757,pankaj berry,Mazaa Mazaa
1758,camila bordonaba,Mazaa Mazaa
1759,bipasha basu,Corporate
1760,kay kay menon,Corporate
1761,raj babbar,Corporate
1762,rajat kapoor,Corporate
1763,ajay devgn,Omkara
1764,kareena kapoor,Omkara
1765,saif ali khan,Omkara
1766,konkona sen sharma,Omkara
1767,akshay kumar,Welcome
1768,nana patekar,Welcome
1769,anil kapoor,Welcome
1770,mallika sherawat,Welcome
1771,archi,Hanuman
1772,rajesh jolly,Hanuman
1773,mukesh khanna,Hanuman
1774,sushmita mukherjee,Hanuman
1775,aftab shivdasani,Koi Aap Sa: But Lovers Have to Be Friends
1776,anita hassandani,Koi Aap Sa: But Lovers Have to Be Friends
1777,dipannita sharma,Koi Aap Sa: But Lovers Have to Be Friends
1778,himanshu malik,Koi Aap Sa: But Lovers Have to Be Friends
1779,sanjay dutt,Zinda
1780,john abraham,Zinda
1781,lara dutta,Zinda
1782,celina jaitly,Zinda
1783,isaiah,C U at 9
1784,malavikka,C U at 9
1785,kanksha,C U at 9
1786,marlon rodrigues,C U at 9
1787,ayesha jhulka,Double Cross: Ek Dhoka
1788,negar khan,Double Cross: Ek Dhoka
1789,sahil khan,Double Cross: Ek Dhoka
1790,tusshar kapoor,"Good Boy, Bad Boy"
1791,emraan hashmi,"Good Boy, Bad Boy"
1792,isha sharvani,"Good Boy, Bad Boy"
1793,tanushree dutta,"Good Boy, Bad Boy"
1794,akshaye khanna,Shaadi Se Pehle
1795,ayesha takia,Shaadi Se Pehle
1796,mallika sherawat,Shaadi Se Pehle
1797,sunil shetty,Shaadi Se Pehle
1798,harman baweja,Love Story 2050
1799,priyanka chopra,Love Story 2050
1800,boman irani,Love Story 2050
1801,archana puran singh,Love Story 2050
1802,amitabh bachchan,Sarkar Raj
1803,abhishek bachchan,Sarkar Raj
1804,aishwarya rai bachchan,Sarkar Raj
1805,ravi kale,Sarkar Raj
1806,prithvi,Gangobai
1807,satnam kaur,Gangobai
1808,durgesh nandni,Gangobai
1809,kiran kumar,Gangobai
1810,rajat bedi,Kaaboo
1811,sudesh berry,Kaaboo
1812,abhay bhargav,Kaaboo
1813,ishwar,Kaaboo
1814,rahul roy,Meri Aashiqui
1815,himani shivpuri,Meri Aashiqui
1816,prithvi zutshi,Meri Aashiqui
1817,anamika goel,Raghu More: Bachelor of Hearts
1818,sonika kapoor,Raghu More: Bachelor of Hearts
1819,mangala kenkre,Raghu More: Bachelor of Hearts
1820,faraha khan,Raghu More: Bachelor of Hearts
1821,mukesh bhatt,Prarambh
1822,shama deshpande,Prarambh
1823,sanjay gandhi,Prarambh
1824,vijay gupta,Prarambh
1825,shahid kapoor,Fool N Final
1826,ayesha takia,Fool N Final
1827,vivek oberoi,Fool N Final
1828,sunny deol,Fool N Final
1829,bobby darling,Apna Sapna Money Money
1830,ritesh deshmukh,Apna Sapna Money Money
1831,avtar gill,Apna Sapna Money Money
1832,vrajesh hirjee,Apna Sapna Money Money
1833,shahid kapoor,Vivah
1834,amrita rao,Vivah
1835,anupam kher,Vivah
1836,alok nath,Vivah
1837,aftab shivdasani,Ankahee
1838,ameesha patel,Ankahee
1839,esha deol,Ankahee
1840,amin hajee,Ankahee
1841,kangana ranaut,Gangster
1842,shiney ahuja,Gangster
1843,emraan hashmi,Gangster
1844,gulshan grover,Gangster
1845,ajay devgn,Golmaal: Fun Unlimited
1846,arshad warsi,Golmaal: Fun Unlimited
1847,sharman joshi,Golmaal: Fun Unlimited
1848,tusshar kapoor,Golmaal: Fun Unlimited
1849,kay kay menon,Dansh
1850,sonali kulkarni,Dansh
1851,aditya srivastava,Dansh
1852,vijay raj,Dansh
1853,ali asghar,Bhola in Bollywood
1854,raj babbar,Bhola in Bollywood
1855,suresh chatwal,Bhola in Bollywood
1856,avtar gill,Bhola in Bollywood
1857,kunal khemu,Kalyug
1858,deepal shaw,Kalyug
1859,smiley suri,Kalyug
1860,atul parchure,Kalyug
1861,mithun chakraborty,Guru
1862,abhishek bachchan,Guru
1863,aishwarya rai bachchan,Guru
1864,madhavan,Guru
1865,ranbir kapoor,Saawariya
1866,sonam kapoor,Saawariya
1867,salman khan,Saawariya
1868,rani mukerji,Saawariya
1869,john abraham,Kabul Express
1870,arshad warsi,Kabul Express
1871,salman shahid,Kabul Express
1872,hanif hum ghum,Kabul Express
1873,sunny deol,Teesri Aankh: The Hidden Camera
1874,ameesha patel,Teesri Aankh: The Hidden Camera
1875,neha dhupia,Teesri Aankh: The Hidden Camera
1876,mukesh rishi,Teesri Aankh: The Hidden Camera
1877,akshay kumar,Namastey London
1878,katrina kaif,Namastey London
1879,rishi kapoor,Namastey London
1880,clive standen,Namastey London
1881,dharmendra,Life in a Metro
1882,irrfan khan,Life in a Metro
1883,konkona sen sharma,Life in a Metro
1884,kay kay menon,Life in a Metro
1885,sanjay dutt,Anthony Kaun Hai?
1886,arshad warsi,Anthony Kaun Hai?
1887,minissha lamba,Anthony Kaun Hai?
1888,anusha dhandekar,Anthony Kaun Hai?
1889,akshay kumar,Bhagam Bhag
1890,govinda,Bhagam Bhag
1891,paresh rawal,Bhagam Bhag
1892,lara dutta,Bhagam Bhag
1893,akshay kumar,Heyy Babyy
1894,vidya balan,Heyy Babyy
1895,fardeen khan,Heyy Babyy
1896,ritesh deshmukh,Heyy Babyy
1897,salman khan,Partner
1898,govinda,Partner
1899,lara dutta,Partner
1900,katrina kaif,Partner
1901,ranvir shorey,Honeymoon Travels Pvt. Ltd.
1902,dia mirza,Honeymoon Travels Pvt. Ltd.
1903,abhay deol,Honeymoon Travels Pvt. Ltd.
1904,minissha lamba,Honeymoon Travels Pvt. Ltd.
1905,akshaye khanna,Aap Ki Khatir
1906,priyanka chopra,Aap Ki Khatir
1907,ameesha patel,Aap Ki Khatir
1908,dino morea,Aap Ki Khatir
1909,sanjay dutt,Shootout at Lokhandwala
1910,amitabh bachchan,Shootout at Lokhandwala
1911,arbaaz khan,Shootout at Lokhandwala
1912,sunil shetty,Shootout at Lokhandwala
1913,dev anand,Mr Prime Minister
1914,prem chopra,Mr Prime Minister
1915,milind gunaji,Mr Prime Minister
1916,a.k. hangal,Mr Prime Minister
1917,sunny deol,Naksha
1918,vivek oberoi,Naksha
1919,sameera reddy,Naksha
1920,jackie shroff,Naksha
1921,dharmendra,Apne
1922,sunny deol,Apne
1923,bobby deol,Apne
1924,shilpa shetty,Apne
1925,emraan hashmi,Dil Diya Hai
1926,ashmit patel,Dil Diya Hai
1927,geeta basra,Dil Diya Hai
1928,mithun chakraborty,Dil Diya Hai
1929,suman ranganathan,Ishq Qayamat
1930,milind gunaji,Ishq Qayamat
1931,deepak jethi,Ishq Qayamat
1932,kashmira shah,Ishq Qayamat
1933,zayed khan,Rocky
1934,isha sharvani,Rocky
1935,minissha lamba,Rocky
1936,rajat bedi,Rocky
1937,urmila matondkar,Speed
1938,sanjay suri,Speed
1939,zayed khan,Speed
1940,aftab shivdasani,Speed
1941,kunal khemu,Traffic Signal
1942,neetu chandra,Traffic Signal
1943,upendra limaye,Traffic Signal
1944,ranvir shorey,Traffic Signal
1945,sushmita sen,Zindaggi Rocks
1946,shiney ahuja,Zindaggi Rocks
1947,julian burkhardt,Zindaggi Rocks
1948,ravi gossain,Zindaggi Rocks
1949,arbaaz khan,Dus Kahaniyaan
1950,mandira bedi,Dus Kahaniyaan
1951,sudhanshu pandey,Dus Kahaniyaan
1952,jimmy shergill,Dus Kahaniyaan
1953,ayesha takia,Dor
1954,shreyas talpade,Dor
1955,gul panag,Dor
1956,girish karnad,Dor
1957,amitabh bachchan,Nishabd
1958,jiah khan,Nishabd
1959,revathy,Nishabd
1960,nasser,Nishabd
1961,ravi kishan,Raja Bhai Lagey Raho...
1962,rajeev awasthi,Raja Bhai Lagey Raho...
1963,chittaranjan giri,Raja Bhai Lagey Raho...
1964,arun kumar,Raja Bhai Lagey Raho...
1965,meghna desai,Humein Tumse Pyar Ho Gaya Chupke Chupke
1966,siddharth dhawan,Humein Tumse Pyar Ho Gaya Chupke Chupke
1967,dinesh hingoo,Humein Tumse Pyar Ho Gaya Chupke Chupke
1968,shakti kapoor,Humein Tumse Pyar Ho Gaya Chupke Chupke
1969,mohit ahlawat,Shiva
1970,priyanka kothari,Shiva
1971,vinod jaywant,Shiva
1972,nagesh bhonsle,Shiva
1973,abhay deol,Ahista Ahista
1974,soha ali khan,Ahista Ahista
1975,shayan munshi,Ahista Ahista
1976,murad ali,Ahista Ahista
1977,rocky bhatia,Stop!
1978,dia mirza,Stop!
1979,tejaswini kolhapure,Stop!
1980,gauri karnik,Stop!
1981,abhishek bachchan,Jhoom Barabar Jhoom
1982,preity zinta,Jhoom Barabar Jhoom
1983,bobby deol,Jhoom Barabar Jhoom
1984,lara dutta,Jhoom Barabar Jhoom
1985,irrfan khan,The Killer
1986,emraan hashmi,The Killer
1987,priyanka kothari,The Killer
1988,bharati achrekar,The Killer
1989,aditya bal,Mashooka
1990,meghna naidu,Mashooka
1991,vidya malvade,Mashooka
1992,mahima chaudhry,Souten: The Other Woman
1993,padmini kolhapure,Souten: The Other Woman
1994,shakti kapoor,Souten: The Other Woman
1995,gulshan grover,Souten: The Other Woman
1996,saif ali khan,Ta Ra Rum Pum
1997,rani mukerji,Ta Ra Rum Pum
1998,mayank amin,Ta Ra Rum Pum
1999,vic aviles,Ta Ra Rum Pum
2000,kangana ranaut,Woh Lamhe
2001,shiney ahuja,Woh Lamhe
2002,shaad randhawa,Woh Lamhe
2003,purab kohli,Woh Lamhe
2004,mischa barton,Bhopal: A Prayer for Rain
2005,martin sheen,Bhopal: A Prayer for Rain
2006,kal penn,Bhopal: A Prayer for Rain
2007,rajpal yadav,Bhopal: A Prayer for Rain
2008,sanjay dutt,Dhamaal
2009,ritesh deshmukh,Dhamaal
2010,arshad warsi,Dhamaal
2011,aashish chaudhary,Dhamaal
2012,nikhil dwivedi,My Name Is Anthony Gonsalves
2013,amrita rao,My Name Is Anthony Gonsalves
2014,mithun chakraborty,My Name Is Anthony Gonsalves
2015,anupam kher,My Name Is Anthony Gonsalves
2016,dwij yadav,Nanhe Jaisalmer: A Dream Come True
2017,bobby deol,Nanhe Jaisalmer: A Dream Come True
2018,sharat saxena,Nanhe Jaisalmer: A Dream Come True
2019,vivek shaq,Nanhe Jaisalmer: A Dream Come True
2020,sameer dharmadhikari,Nigehbaan: The Third Eye
2021,sandali sinha,Nigehbaan: The Third Eye
2022,sayaji shinde,Nigehbaan: The Third Eye
2023,govind namdeo,Nigehbaan: The Third Eye
2024,vinod khanna,Risk
2025,randeep hooda,Risk
2026,tanushree dutta,Risk
2027,madhuri bhagwat,Risk
2028,shweta bhardwaj,Loot
2029,mimoh chakraborty,Loot
2030,prem chopra,Loot
2031,sudhir s. dayma,Loot
2032,rajesh khanna,Pyaar Zindagi Hai
2033,mohnish bahl,Pyaar Zindagi Hai
2034,ashima bhalla,Pyaar Zindagi Hai
2035,asawari joshi,Pyaar Zindagi Hai
2036,arjun rampal,I See You
2037,vipasha agarwal,I See You
2038,chunky pandey,I See You
2039,boman irani,I See You
2040,menekka arora,MP3: Mera Pehla Pehla Pyaar
2041,sarthak bhasin,MP3: Mera Pehla Pehla Pyaar
2042,sagar chawla,MP3: Mera Pehla Pehla Pyaar
2043,hazel croney,MP3: Mera Pehla Pehla Pyaar
2044,ajay devgn,Cash
2045,sunil shetty,Cash
2046,zayed khan,Cash
2047,ritesh deshmukh,Cash
2048,manisha koirala,Anjaane: The Unkown
2049,sanjay kapoor,Anjaane: The Unkown
2050,helen,Anjaane: The Unkown
2051,daisy irani,Anjaane: The Unkown
2052,tusshar kapoor,Aggar: Passion Betrayal Terror
2053,udita goswami,Aggar: Passion Betrayal Terror
2054,shreyas talpade,Aggar: Passion Betrayal Terror
2055,sophiya chaudhary,Aggar: Passion Betrayal Terror
2056,david carradine,The Golden Boys
2057,rip torn,The Golden Boys
2058,bruce dern,The Golden Boys
2059,mariel hemingway,The Golden Boys
2060,dino morea,Anamika: The Untold Story
2061,minissha lamba,Anamika: The Untold Story
2062,koena mitra,Anamika: The Untold Story
2063,gulshan grover,Anamika: The Untold Story
2064,sunny deol,Kaafila
2065,ammtoje mann,Kaafila
2066,sudesh berry,Kaafila
2067,sana,Kaafila
2068,farhan akhtar,Luck by Chance
2069,konkona sen sharma,Luck by Chance
2070,rishi kapoor,Luck by Chance
2071,dimple kapadia,Luck by Chance
2072,tusshar kapoor,Kya Love Story Hai
2073,ayesha takia,Kya Love Story Hai
2074,karan hukka,Kya Love Story Hai
2075,rahul singh,Kya Love Story Hai
2076,ajay devgn,Halla Bol
2077,vidya balan,Halla Bol
2078,pankaj kapur,Halla Bol
2079,darshan jariwala,Halla Bol
2080,ava mukherjee,Detective Naani
2081,zain khan,Detective Naani
2082,simran singh,Detective Naani
2083,amrita raichand,Detective Naani
2084,aftab shivdasani,Red: The Dark Side
2085,celina jaitly,Red: The Dark Side
2086,amrita arora,Red: The Dark Side
2087,amin hajee,Red: The Dark Side
2088,rahul khanna,Raqeeb
2089,sharman joshi,Raqeeb
2090,tanushree dutta,Raqeeb
2091,jimmy shergill,Raqeeb
