,actors,movies
268,akanksha malhotra,Yeh Mohabbat Hai
269,rahul bhat,Yeh Mohabbat Hai
270,nasir khan,Yeh Mohabbat Hai
271,pinky campbell,Yeh Mohabbat Hai
272,salman khan,Tumko Na Bhool Paayenge
273,sushmita sen,Tumko Na Bhool Paayenge
274,dia mirza,Tumko Na Bhool Paayenge
275,sharat saxena,Tumko Na Bhool Paayenge
276,vinod khanna,Kranti
277,bobby deol,Kranti
278,ameesha patel,Kranti
279,rati agnihotri,Kranti
280,manisha koirala,Escape from Taliban
281,nawab shah,Escape from Taliban
282,vineeta malik,Escape from Taliban
283,prithvi zutshi,Escape from Taliban
284,jackie shroff,Kya Yehi Pyaar Hai
285,aftab shivdasani,Kya Yehi Pyaar Hai
286,ameesha patel,Kya Yehi Pyaar Hai
287,anupama verma,Kya Yehi Pyaar Hai
288,fardeen khan,Kitne Door... Kitne Paas
289,amrita arora,Kitne Door... Kitne Paas
290,satish shah,Kitne Door... Kitne Paas
291,tiku talsania,Kitne Door... Kitne Paas
292,nana patekar,Vadh
293,anupama verma,Vadh
294,puru rajkumar,Vadh
295,nakhul,Vadh
296,danny denzongpa,16-Dec
297,gulshan grover,16-Dec
298,milind soman,16-Dec
299,dipannita sharma,16-Dec
300,vivek oberoi,Dum
301,dia mirza,Dum
302,atul kulkarni,Dum
303,mukesh rishi,Dum
304,j.d. chakravarthi,Durga
305,snehal dabi,Durga
306,jayaprakash,Durga
307,priyanka,Durga
308,arjun rampal,Humko Tumse Pyaar Hai
309,ameesha patel,Humko Tumse Pyaar Hai
310,bobby deol,Humko Tumse Pyaar Hai
311,achint kaur,Humko Tumse Pyaar Hai
312,manoj bajpayee,Road
313,vivek oberoi,Road
314,antara mali,Road
315,sayaji shinde,Road
316,vinay anand,Angaar: The Fire
317,rana jung bahadur,Angaar: The Fire
318,rajat bedi,Angaar: The Fire
319,sanober kabir,Angaar: The Fire
320,om puri,Ansh: The Deadly Part
321,ashutosh rana,Ansh: The Deadly Part
322,abbas,Ansh: The Deadly Part
323,sharbani mukherji,Ansh: The Deadly Part
324,nandita das,Lal Salaam
325,sharad s. kapoor,Lal Salaam
326,makrand deshpande,Lal Salaam
327,vijay raaz,Lal Salaam
328,krishna abhishek,Yeh Kaisi Mohabbat
329,viveka babajee,Yeh Kaisi Mohabbat
330,sheeba bhakri,Yeh Kaisi Mohabbat
331,deeksha,Yeh Kaisi Mohabbat
332,naseeruddin shah,Kasam
333,sunny deol,Kasam
334,chunky pandey,Kasam
335,neelam,Kasam
336,akshay kumar,Awara Paagal Deewana
337,sunil shetty,Awara Paagal Deewana
338,aftab shivdasani,Awara Paagal Deewana
339,preeti jhangiani,Awara Paagal Deewana
340,ajay devgn,The Legend of Bhagat Singh
341,sushant singh,The Legend of Bhagat Singh
342,d. santosh,The Legend of Bhagat Singh
343,akhilendra mishra,The Legend of Bhagat Singh
344,arya babbar,Ab Ke Baras
345,amrita rao,Ab Ke Baras
346,ashutosh rana,Ab Ke Baras
347,shakti kapoor,Ab Ke Baras
348,uday chopra,Mere Yaar Ki Shaadi Hai
349,tulip joshi,Mere Yaar Ki Shaadi Hai
350,jimmy shergill,Mere Yaar Ki Shaadi Hai
351,bipasha basu,Mere Yaar Ki Shaadi Hai
352,amitabh bachchan,Lakshya
