source,target,weight
akhilendra mishra,himanshu bhatt,1
akhilendra mishra,kabeer kaushik,1
akhilendra mishra,rajkumar santoshi,1
akhilendra mishra,sanjay dayma,1
akilesh unnitan,saahil prem,1
akkash basnet,sanjeev reddy,1
akshat chopra,kunal kohli,1
akshay kapoor,kabir sadanand,1
akshay kapoor,vishal pandya,1
akshay kapoor,zaigham ali syed,1
akshay kumar,a.r. murugadoss,1
akshay kumar,abhishek sharma,1
akshay kumar,anil sharma,1
akshay kumar,ashish r. mohan,1
akshay kumar,david dhawan,1
akshay kumar,dilip shukla,1
akshay kumar,farah khan,1
akshay kumar,farhad,1
akshay kumar,k. subhash,1
akshay kumar,kader kashmiri,1
akshay kumar,kompin kemgumnird,1
akshay kumar,madhur bhandarkar,1
akshay kumar,milan luthria,1
akshay kumar,milap zaveri,1
akshay kumar,nagesh kukunoor,1
akshay kumar,neeraj pandey,1
akshay kumar,neeraj vora,1
akshay kumar,pankaj parashar,1
akshay kumar,prabhudheva,1
akshay kumar,rajkumar kohli,1
akshay kumar,s.m. iqbal,1
akshay kumar,sajid,1
akshay kumar,shashant shah,1
akshay kumar,shirish kunder,1
akshay kumar,vijay krishna acharya,1
akshay oberoi,akshay akkineni,1
akshay oberoi,vidhi kasliwal,1
akshaye khanna,anees bazmee,1
akshaye khanna,dharmesh darshan,1
akshaye khanna,farhan akhtar,1
akshaye khanna,feroz abbas khan,1
akshaye khanna,milan luthria,1
akshaye khanna,satish kaushik,1
ali asghar,ashim s. samanta,1
ali asghar,sumbul gazi,1
ali fazal,charudutt acharya,1
ali fazal,mrigdeep singh lamba,1
ali fazal,roshan abbas,1
ali fazal,samar shaikh,1
ali fazal,shuja ali,1
ali g.,rajiv s. ruia,1
ali haji,rajiv s. ruia,1
ali zafar,abhishek sharma,1
ali zafar,ali abbas zafar,1
ali zafar,anu menon,1
ali zafar,eeshwar nivas,1
ali zafar,shaad ali,1
alia bhatt,abhishek varman,1
alia bhatt,imtiaz ali,1
alia bhatt,karan johar,1
alia bhatt,shashank khaitan,1
alisha,rahul dholakia,1
alisha chinoi,manoj tyagi,1
aliza,sharique minhaj,1
allan border,ajit pal mangat,1
alok nath,anup das,1
alok nath,arjun sablok,1
alok nath,mani shankar,1
alok nath,satish kaushik,1
alok nath,sooraj r. barjatya,1
alyy khan,gaurav pandey,1
alyy khan,pawan gill,1
amala akkineni,avinash kumar singh,1
aman verma,rajiv s. ruia,1
aman verma,rakesh ranjan kumar,1
aman verma,ravi chopra,1
amar upadhyaya,shyam ramsay,1
amardeep jha,mohit suri,1
amardeep jha,shripal morakhia,1
ameesha patel,abbas alibhai burmawalla,1
ameesha patel,ajay chandhok,1
ameesha patel,anil sharma,1
ameesha patel,anubhav sinha,1
ameesha patel,bunty soorma,1
ameesha patel,david dhawan,1
ameesha patel,deepak bahry,1
ameesha patel,dharmesh darshan,1
ameesha patel,harry baweja,1
ameesha patel,k. muralimohana rao,1
ameesha patel,mastan alibhai burmawalla,1
ameesha patel,naresh malhotra,1
ameesha patel,priyadarshan,1
ameesha patel,satish kaushik,1
ameesha patel,suneel darshan,1
ameesha patel,susi ganesan,1
ameesha patel,tanuja chandra,1
