,imdbid,metrics_x,actors,metrics_y,directors
339,tt0315767,actor4,sanober kabir,director1,ajay kashyap
340,tt0315777,actor1,om puri,director1,rajan johri
341,tt0315777,actor2,ashutosh rana,director1,rajan johri
342,tt0315777,actor3,abbas,director1,rajan johri
343,tt0315777,actor4,sharbani mukherji,director1,rajan johri
344,tt0316154,actor1,nandita das,director1,gaganvihari borate
345,tt0316154,actor2,sharad s. kapoor,director1,gaganvihari borate
346,tt0316154,actor3,makrand deshpande,director1,gaganvihari borate
347,tt0316154,actor4,vijay raaz,director1,gaganvihari borate
348,tt0316911,actor1,krishna abhishek,director1,dinkar kapur
349,tt0316911,actor2,viveka babajee,director1,dinkar kapur
350,tt0316911,actor3,sheeba bhakri,director1,dinkar kapur
351,tt0316911,actor4,deeksha,director1,dinkar kapur
352,tt0317811,actor1,naseeruddin shah,director1,shibu mitra
353,tt0317811,actor2,sunny deol,director1,shibu mitra
354,tt0317811,actor3,chunky pandey,director1,shibu mitra
355,tt0317811,actor4,neelam,director1,shibu mitra
356,tt0319020,actor1,akshay kumar,director1,vikram bhatt
357,tt0319020,actor2,sunil shetty,director1,vikram bhatt
358,tt0319020,actor3,aftab shivdasani,director1,vikram bhatt
359,tt0319020,actor4,preeti jhangiani,director1,vikram bhatt
360,tt0319736,actor1,ajay devgn,director1,rajkumar santoshi
361,tt0319736,actor2,sushant singh,director1,rajkumar santoshi
362,tt0319736,actor3,d. santosh,director1,rajkumar santoshi
363,tt0319736,actor4,akhilendra mishra,director1,rajkumar santoshi
364,tt0321067,actor1,arya babbar,director1,raj kanwar
365,tt0321067,actor2,amrita rao,director1,raj kanwar
366,tt0321067,actor3,ashutosh rana,director1,raj kanwar
367,tt0321067,actor4,shakti kapoor,director1,raj kanwar
368,tt0322653,actor1,uday chopra,director1,sanjay gadhvi
369,tt0322653,actor2,tulip joshi,director1,sanjay gadhvi
370,tt0322653,actor3,jimmy shergill,director1,sanjay gadhvi
371,tt0322653,actor4,bipasha basu,director1,sanjay gadhvi
372,tt0323013,actor1,amitabh bachchan,director1,farhan akhtar
373,tt0323013,actor2,hrithik roshan,director1,farhan akhtar
374,tt0323013,actor3,preity zinta,director1,farhan akhtar
375,tt0323013,actor4,sharad s. kapoor,director1,farhan akhtar
